,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
UNIT.,,BSO,TYPE,COST,SIZE,PRICE PER M2,NEXT PRICE
EARLY STAGE,,71,3BD,315000,"136,51",2308,330750
EARLY STAGE,,72,3BD SKY,325000,"136,51",2381,341250
EARLY STAGE,,73,3BD,315000,"127,85",2464,330750
EARLY STAGE,,74,3BD SKY,325000,"136,51",2381,341250
BOOKED,,75,3BD,315000,"127,85",2464,330750
BOOKED,,76,3BD SKY,325000,"136,51",2381,341250
BOOKED,,77,2BD,253700,"104,61",2425,266385
PRESALE,,78,2BD,253700,"104,61",2425,266385
PRESALE,,79,2BD,253700,"104,61",2425,266385
PRESALE,,80,2BD,253700,"104,61",2425,266385
PRESALE,,81,2BD,253700,"104,61",2425,266385
PREBOOKED,,82,2BD,253700,"104,61",2425,266385
BOOKED,,83,2BD,253700,"104,61",2425,266385
BOOKED,,84,2BD,253700,"104,61",2425,266385
BOOKED,,85,3BD,315000,"127,85",2464,330750
PREBOOKED,,86,3BD SKY,325000,"136,51",2381,341250
EARLY STAGE,,87,3BD,315000,"127,85",2464,330750
BOOKED,,88,3BD SKY,325000,"136,51",2381,341250
BOOKED,,89,4BD RIVER,475000,"159,8",2972,498750
PREBOOKED,,90,2BD,253700,"104,61",2425,266385
BOOKED,,91,2BD,253700,"104,61",2425,266385
BOOKED,,92,2BD,253700,"104,61",2425,266385
BOOKED,,93,2BD,253700,"104,61",2425,266385
EARLY STAGE,,94,3BD,315000,"127,85",2464,330750
BOOKED,,95,3BD SKY,325000,"136,51",2381,341250
EARLY STAGE,,96,3BD,315000,"127,85",2464,330750
BOOKED,,97,3BD SKY,325000,"136,51",2381,341250
EARLY STAGE,,98,3BD,315000,"127,85",2464,330750
EARLY STAGE,,99,3BD SKY,325000,"136,51",2381,341250
PREBOOKED,,100,3BD,315000,"127,85",2464,330750
BOOKED,,101,3BD SKY,325000,"136,51",2381,341250
BOOKED,,102,4BD RIVER,469200,"159,8",2936,492660
EARLY STAGE,,103,4BD RIVER,469200,"159,8",2936,492660
